Country,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20
Afghanistan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03486,0.032,0.02757,0.02457,0.02157,0.01814,0.01714,0.016,0.01571,0.01643,0.01643,0.01914,0.02171,0.024,0.02843,0.03129,0.03443,0.03843,0.04271,0.04671,0.04886,0.04943,0.05014,0.04886,0.04729,0.04771,0.055,0.06457,0.07657,0.08743,0.09914,0.11014,0.11457,0.11729,0.11686,0.11729,0.11614,0.11386,0.11243,0.10971,0.11029,0.11014,0.11,0.11171,0.11186,0.114,0.11371,0.11243,0.11186,0.11043,0.10871,0.107,0.106,0.10571,0.10557,0.104,0.10371,0.10229,0.10043,0.09914,0.097,0.09586,0.094,0.09243,0.09057,0.08786,0.08543,0.08329,0.08157,0.07986,0.07829,0.07771,0.07729,0.07657,0.076,0.07643,0.07743,0.07757,0.07986,0.085,-1.0,-1.0,-1.0
Albania,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.07186,0.09114,0.11071,0.12729,0.14129,0.16429,0.17957,0.199,0.21914,0.23214,0.24557,0.25743,0.27329,0.289,0.30914,0.333,0.35857,0.38071,0.40029,0.41529,0.42914,0.43914,0.44829,0.45714,0.46257,0.471,0.47486,0.48286,0.48714,0.48814,0.48886,0.48971,0.49157,0.49343,0.49729,0.50557,0.51886,0.53243,0.54686,0.56129,0.57657,0.59014,0.60029,0.60943,0.61986,0.62771,0.63686,0.64586,0.65214,0.65757,0.65986,0.66071,0.659,0.659,0.66086,0.66457,0.66843,0.67357,0.677,0.67843,0.67757,0.67429,0.67043,0.66786,0.664,0.66043,0.65857,0.65743,0.65643,0.653,0.65114,0.64886,0.64686,0.64443,0.64171,-1.0,-1.0,-1.0
Algeria,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.20943,0.218,0.22257,0.21971,0.23414,0.246,0.23586,0.214,0.17443,0.15171,0.11529,0.08357,0.07957,0.058,0.057,0.05571,0.05357,0.05514,0.05586,0.05571,0.05643,0.06914,0.09129,0.11386,0.14014,0.17529,0.20757,0.23371,0.25086,0.26729,0.28129,0.28757,0.30114,0.31114,0.32286,0.33271,0.34714,0.361,0.369,0.375,0.37971,0.38514,0.38386,0.383,0.38071,0.37929,0.37786,0.37471,0.37257,0.372,0.37343,0.37671,0.38029,0.38571,0.39357,0.40129,0.40714,0.41157,0.41657,0.42114,0.42371,0.425,0.42771,0.43286,0.43757,0.443,0.44957,0.46,0.46714,0.47271,0.48029,0.48729,0.49414,0.49743,0.50514,0.513,0.52029,0.52771,0.53443,0.54171,0.54857,0.55457,0.55914,0.56357,-1.0,-1.0,-1.0
Andorra,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.36457,0.36729,0.22629,0.085,0.01486,0.01229,0.00943,0.00743,0.00614,0.00514,0.00429,0.00357,0.00657,0.00971,0.01286,0.01557,0.02029,0.02629,0.02986,0.03443,0.041,0.05086,0.05986,0.07029,0.07971,0.1,0.118,0.13257,0.15429,0.17329,0.19557,0.20843,0.22729,0.249,0.26929,0.29443,0.32114,0.34686,0.36629,0.38343,0.40129,0.41686,0.43229,0.45471,0.47786,0.50157,0.52171,0.54014,0.55657,0.566,0.57614,0.58786,0.597,0.606,0.61229,0.62014,0.62857,0.63843,0.64857,0.66,0.67186,0.682,0.69157,0.69957,0.706,0.71286,0.71943,0.72471,0.731,0.73771,0.74443,0.74971,0.75514,0.76214,0.76771,0.77143,0.76886,0.76471,0.76057,0.75543,0.75,0.74443,0.74629,0.74971,-1.0,-1.0,-1.0
Angola,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.12043,0.11943,0.11657,0.11371,0.10014,0.10986,0.12214,0.13543,0.158,0.18057,0.20314,0.21057,0.21614,0.22171,0.21986,0.218,0.21471,0.21143,0.21,0.20857,0.20586,0.20186,0.19929,0.202,0.20471,0.22286,0.23471,0.24786,0.261,0.26771,0.27443,0.26571,0.25743,0.25571,0.25214,0.24971,0.24729,0.248,0.25314,0.26057,0.26986,0.27914,0.28643,0.28871,0.29371,0.285,0.27486,0.26643,0.25514,0.24514,0.23514,0.22957,0.22386,0.21343,0.20671,0.19986,0.193,0.18657,0.18171,0.17986,0.18414,0.19329,0.20114,0.23029,0.257,-1.0,-1.0,-1.0
Antigua and Barbuda,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11143,0.13629,0.17729,0.21829,0.26514,0.312,0.35886,0.38086,0.38671,0.39257,0.39257,0.41286,0.43314,0.45343,0.47371,0.49971,0.52571,0.53143,0.53714,0.56,0.58286,0.6,0.61714,0.63429,0.65143,0.65143,0.65143,0.65143,0.65143,0.65143,0.65143,0.65143,0.65143,0.65143,0.65143,0.65143,0.65143,0.65143,0.65143,0.65143,0.65143,0.64729,0.64314,0.64443,0.64571,0.647,0.64829,0.65371,0.65914,0.65914,0.65914,-1.0,-1.0,-1.0
Argentina,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.02514,0.02471,0.02371,0.01886,0.03257,0.04729,0.06186,0.07657,0.08986,0.10229,0.12286,0.13629,0.152,0.16686,0.182,0.19557,0.18343,0.18071,0.17686,0.17443,0.17343,0.17314,0.17743,0.17871,0.18229,0.18743,0.19329,0.20114,0.205,0.20929,0.21171,0.21257,0.21729,0.22186,0.22443,0.22771,0.23086,0.23557,0.23671,0.23743,0.23886,0.24071,0.24257,0.24229,0.242,0.24386,0.246,0.24729,0.24914,0.25114,0.25343,0.25286,0.25286,0.25157,0.256,0.26143,0.26643,0.27129,0.27486,0.27914,0.27871,0.27614,0.272,0.26671,0.26571,0.265,0.26371,0.26357,0.26457,0.26829,0.26829,0.26629,0.26629,0.26657,0.26657,0.26543,0.26343,0.26257,0.25743,0.25543,0.255,0.255,-1.0,-1.0,-1.0
Armenia,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.00757,0.01386,0.02114,0.029,0.04029,0.04943,0.05829,0.05914,0.05857,0.05743,0.05243,0.05014,0.048,0.049,0.05157,0.05843,0.06971,0.08286,0.09757,0.11329,0.13043,0.14486,0.16186,0.17857,0.2,0.22229,0.25443,0.28571,0.31214,0.33614,0.35343,0.36743,0.37271,0.38086,0.38714,0.392,0.39686,0.40157,0.40071,0.39729,0.39257,0.38757,0.38229,0.37629,0.37029,0.364,0.358,0.353,0.34914,0.34586,0.34529,0.34414,0.34486,0.34671,0.34929,0.35343,0.35557,0.35929,0.36671,0.37357,0.38314,0.38829,0.39414,0.396,0.39257,0.38671,0.37457,0.36229,0.34971,0.33871,0.32771,0.31671,0.30643,0.29629,0.28557,0.27643,0.269,0.26414,0.26371,-1.0,-1.0,-1.0
Australia,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.14729,0.136,0.13114,0.12629,0.12143,0.11843,0.11543,0.114,0.17114,0.22829,0.28543,0.34257,0.41886,0.49514,0.51429,0.53343,0.562,0.59057,0.6,0.60943,0.61886,0.62829,0.62829,0.62829,0.58643,0.53986,0.48757,0.42314,0.34871,0.29857,0.28571,0.27514,0.26214,0.25486,0.25257,0.22143,0.19486,0.16371,0.13743,0.11543,0.09614,0.08,0.06229,0.05129,0.04286,0.03529,0.03471,0.03486,0.03714,0.03886,0.04286,0.04829,0.04971,0.051,0.05143,0.05557,0.05929,0.065,0.07286,0.08214,0.09271,0.108,0.12171,0.13286,0.14986,0.173,0.195,0.20929,0.22371,0.24671,0.26071,0.27157,0.314,0.36286,0.41143,0.45529,0.50786,0.56171,0.58657,0.60671,0.63229,0.65757,0.67529,0.68943,0.702,0.71343,0.72043,0.72471,0.72843,0.73129,0.73457,0.73829,0.74214,0.74643,0.75043,0.75443,0.75757,0.76086,0.764,0.76643,0.76914,0.77129,0.77343,0.77471,0.77586,0.77757,0.77886,0.78043,0.78171,0.78329,0.78471,0.78543,0.78643,0.787,0.78757,0.78786,0.78786,0.78771,0.78743,0.78743,0.78786,0.78814,0.78871,0.78943,0.79043,0.79171,-1.0,-1.0,-1.0
Austria,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.01129,0.009,0.00686,0.00571,0.00457,0.00386,0.00329,0.00286,0.003,0.00257,0.00229,0.004,0.00771,0.01114,0.01871,0.02786,0.043,0.05986,0.07814,0.09929,0.12186,0.148,0.17286,0.19943,0.22686,0.25843,0.29186,0.32457,0.35586,0.38486,0.41171,0.43586,0.46071,0.48743,0.51529,0.54229,0.56829,0.593,0.61271,0.629,0.64214,0.65457,0.66714,0.67729,0.68586,0.69314,0.69986,0.70629,0.712,0.71757,0.72229,0.72657,0.73157,0.73529,0.73957,0.74414,0.74843,0.752,0.75429,0.75771,0.76057,0.76314,0.76514,0.76686,0.76857,0.76929,0.77114,0.773,0.77543,0.77757,0.77971,0.782,0.783,0.784,0.78486,0.78614,0.78857,0.791,0.79314,0.79529,0.79743,0.79943,0.80014,0.80043,0.80071,0.80071,0.80086,-1.0,-1.0,-1.0
Azerbaijan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19457,0.18614,0.177,0.16786,0.16029,0.15171,0.141,0.12686,0.12286,0.121,0.10429,0.094,0.08443,0.08157,0.07857,0.07129,0.06757,0.06614,0.06457,0.05886,0.05629,0.05471,0.05643,0.06171,0.07586,0.095,0.11771,0.145,0.17586,0.20629,0.23471,0.264,0.29286,0.32957,0.36643,0.40386,0.43786,0.469,0.49843,0.52114,0.54129,0.55671,0.573,0.588,0.602,0.61171,0.61929,0.627,0.632,0.63414,0.63243,0.62786,0.62029,0.60929,0.59629,0.58443,0.57043,0.56257,0.55471,0.54957,0.54457,0.53971,0.53729,0.53386,0.53143,0.53014,0.53043,0.53243,0.536,0.53843,0.54129,0.54271,0.54457,0.54414,0.54443,0.54186,0.539,0.53429,0.52714,0.51957,0.50957,0.49986,0.48971,0.48329,0.48,-1.0,-1.0,-1.0
Bahamas,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.09614,0.07771,0.06871,0.06043,0.05214,0.03914,0.029,0.03857,0.05343,0.06529,0.07671,0.09371,0.10929,0.10514,0.10171,0.10129,0.10129,0.10043,0.10071,0.11114,0.11886,0.12757,0.13657,0.14686,0.15871,0.162,0.16343,0.17657,0.18943,0.204,0.21729,0.23214,0.247,0.249,0.251,0.253,0.25371,0.25,0.24814,0.255,0.27114,0.28557,0.30371,0.32314,0.345,0.35786,0.36143,0.36657,0.36929,0.37343,0.37514,0.37743,0.38129,0.38357,0.38529,0.38557,0.38729,0.38971,0.39057,0.39214,0.39514,0.39814,0.39971,0.40257,0.40543,0.416,0.42571,0.43543,0.45414,0.47157,0.49171,0.50343,-1.0,-1.0,-1.0
Bahrain,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11414,0.13971,0.163,0.182,0.20486,0.23,0.25357,0.27271,0.29286,0.31143,0.32371,0.32943,0.34486,0.35371,0.36714,0.37814,0.394,0.41543,0.42829,0.44229,0.46329,0.47843,0.48,0.49,0.50057,0.51286,0.509,0.50714,0.50957,0.505,0.49329,0.47686,0.45814,0.43557,0.40871,0.38457,0.36786,0.35857,0.35429,0.35157,0.35157,0.36471,0.37486,0.37714,0.38343,0.39,0.39714,0.39143,0.39286,0.40014,0.40629,0.41029,0.419,0.423,0.41957,0.41671,0.41457,0.41157,0.40043,0.38971,0.38071,0.36971,0.35586,0.345,0.34086,0.33943,0.34043,0.34214,0.344,0.35429,0.36471,0.37586,0.38857,0.402,0.42,0.43071,0.439,0.44643,0.452,0.45743,0.467,0.47686,0.48686,0.49243,0.49743,0.509,0.51543,0.52186,0.53157,0.54529,-1.0,-1.0,-1.0
Bangladesh,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.153,0.12314,0.11086,0.11129,0.12557,0.14114,0.16986,0.20143,0.23857,0.283,0.31343,0.34443,0.36071,0.37743,0.37557,0.34386,0.30643,0.26429,0.21771,0.16757,0.12471,0.09543,0.07414,0.05857,0.05,0.04329,0.03714,0.03257,0.02957,0.02771,0.02571,0.02471,0.02386,0.02286,0.02171,0.02086,0.02029,0.02,0.01929,0.01886,0.01857,0.01814,0.031,0.04486,0.06014,0.07429,0.09329,0.11329,0.12229,0.13114,0.13929,0.14914,0.15414,0.15671,0.15929,0.16143,0.163,0.16343,0.16486,0.16729,0.16771,0.169,0.16986,0.17171,0.17271,0.17429,0.17586,0.17643,0.17757,0.17829,0.17843,0.17957,0.18029,0.18043,0.18057,0.18086,0.18143,0.181,0.18114,0.18171,-1.0,-1.0,-1.0
Barbados,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11643,0.12429,0.13657,0.14429,0.14971,0.15486,0.16029,0.17057,0.17714,0.18743,0.20571,0.22471,0.25257,0.27771,0.30129,0.33571,0.35771,0.37971,0.39286,0.404,0.41671,0.42371,0.43086,0.44143,0.45371,0.46686,0.49043,0.50414,0.52443,0.54129,0.55643,0.57043,0.58743,0.60543,0.61771,0.632,0.64543,0.66,0.65871,0.66057,0.66243,0.66229,0.66057,0.65886,0.66114,0.66029,0.66714,0.674,0.68329,0.69257,0.70029,0.708,0.708,0.71571,0.72343,0.73114,0.73886,0.74657,0.75429,0.75429,-1.0,-1.0,-1.0
Belarus,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.17843,0.14271,0.107,0.08529,0.08343,0.07786,0.09014,0.10643,0.121,0.14586,0.18,0.21786,0.23829,0.25871,0.28086,0.27214,0.26814,0.26643,0.24271,0.21571,0.18429,0.16743,0.13414,0.09671,0.08214,0.074,0.069,0.06671,0.06714,0.06814,0.06671,0.061,0.05571,0.055,0.054,0.05871,0.06157,0.06614,0.07443,0.08086,0.08886,0.09757,0.109,0.11871,0.12686,0.13257,0.13857,0.14314,0.14814,0.15343,0.15671,0.16371,0.172,0.17986,0.18886,0.20071,0.214,0.22357,0.231,0.23786,0.24429,0.25057,0.258,0.26686,0.27414,0.27957,0.28629,0.29243,0.29857,0.30557,0.31414,0.32157,0.32786,0.33471,0.341,0.34714,0.35286,0.35943,0.36471,0.36829,0.37243,0.37714,0.38286,0.38957,0.39714,0.40414,0.41,-1.0,-1.0,-1.0
Belgium,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.78571,0.66071,0.52886,0.39214,0.25214,0.11057,0.04,0.02286,0.01243,0.00686,0.00443,0.00357,0.003,0.00243,0.002,0.00157,0.00129,0.00386,0.006,0.00586,0.019,0.02986,0.03971,0.05214,0.06557,0.081,0.08457,0.09014,0.098,0.10086,0.104,0.11043,0.11686,0.12471,0.132,0.14086,0.14929,0.15414,0.15943,0.16457,0.16929,0.17271,0.17643,0.181,0.184,0.18471,0.18586,0.18671,0.18771,0.18886,0.189,0.19014,0.19129,0.19257,0.19314,0.19357,0.19529,0.19714,0.198,0.199,0.20043,0.20229,0.20414,0.20614,0.20829,0.20971,0.21143,0.21271,0.21371,0.21486,0.21643,0.21786,0.21843,0.21929,0.22014,0.22114,0.222,0.22329,0.22457,0.22529,0.226,0.22671,0.22743,0.22771,0.22814,0.22871,0.229,0.22929,0.22943,0.22986,0.23043,0.23114,0.23186,0.23229,0.23271,0.23314,0.23357,0.23386,0.23429,0.23471,0.23514,-1.0,-1.0,-1.0
Belize,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16671,0.19057,0.22229,0.27786,0.30957,0.34129,0.40471,0.46814,0.52371,0.56343,0.619,0.67457,0.69843,0.72229,0.74614,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.75529,0.74857,0.74186,0.73514,0.72243,-1.0,-1.0,-1.0
